Year,Carrier Type,Carrier,Total Energy Use,Percent,Sequence
2015,Power,PV,739.1937237080786,0.00031752200667115136,0
2020,Power,PV,2941.176468703249,0.001263387694408288,0
2025,Power,PV,11996.383733940478,0.0051530684228350285,0
2030,Power,PV,21814.2231719542,0.009370339186303249,0
2035,Power,PV,30652.20633871231,0.013166710908668054,0
2040,Power,PV,37867.66026522675,0.016266122248766075,0
2045,Power,PV,42309.84765842057,0.01817427191218668,0
2050,Power,PV,45314.37775171777,0.019464873271113185,0
2015,Power,Solar thermal power plants,28.180317974027407,1.2104906771743612e-05,1
2020,Power,Solar thermal power plants,95.92472948533931,4.120464178562319e-05,1
2025,Power,Solar thermal power plants,952.2260060478457,0.00040903041049652176,1
2030,Power,Solar thermal power plants,5313.084450864602,0.002282245076417961,1
2035,Power,Solar thermal power plants,10145.989743285892,0.0043582283231416025,1
2045,Power,Solar thermal power plants,16495.46522094106,0.0070856570475912855,1
2050,Power,Solar thermal power plants,18712.230692153913,0.008037872682226188,1
2040,Power,Solar thermal power plants,13814.914410414338,0.005934221578046424,1
2020,Power,Biomass Power,2494.740049961054,0.0010716201198420227,2
2025,Power,Biomass Power,5129.5439132038455,0.002203404905087501,2
2030,Power,Biomass Power,6973.015963279977,0.002995271672632618,2
2035,Power,Biomass Power,7209.287167144519,0.003096762397409531,2
2040,Power,Biomass Power,7096.481192453129,0.0030483063860829917,2
2045,Power,Biomass Power,7218.773218641373,0.003100837148060223,2
2050,Power,Biomass Power,7543.847842257269,0.003240473543091563,2
2015,Power,Biomass Power,1410.5448308467699,0.0006059020941673497,2
2015,Power,Wind,2512.3353055078924,0.001079178193821734,3
2020,Power,Wind,4681.308646712967,0.0020108646322034083,3
2025,Power,Wind,13645.880783269859,0.005861612876478208,3
2030,Power,Wind,26256.640230050143,0.011278587502699717,3
2035,Power,Wind,36767.23006586525,0.015793430457837414,3
2040,Power,Wind,42766.62872116032,0.01837048304737184,3
2045,Power,Wind,46483.09870771948,0.01996689948059821,3
2050,Power,Wind,49578.4486812795,0.021296512684054487,3
2015,Power,Ocean energy,3.0278852291242213,1.3006335999426646e-06,4
2045,Power,Ocean energy,2265.8196353463622,0.0009732869399391663,4
2040,Power,Ocean energy,1705.2083273405617,0.0007324753343054059,4
2035,Power,Ocean energy,1112.3922298682828,0.00047783010286037364,4
2025,Power,Ocean energy,124.42996808210184,5.344911880104008e-05,4
2020,Power,Ocean energy,6.394981965689287,2.7469761190415457e-06,4
2050,Power,Ocean energy,2708.2684116146684,0.0011633416154377219,4
2030,Power,Ocean energy,487.0001510508702,0.00020919179945836998,4
2050,Power,Hydrogen Power,7189.227035741623,0.0030881455315287134,5
2035,Power,Hydrogen Power,2018.320674731151,0.0008669733118561966,5
2015,Power,Hydrogen Power,0.0,0.0,5
2020,Power,Hydrogen Power,1.3335507416603254,5.728291433072418e-07,5
2025,Power,Hydrogen Power,103.00594957568067,4.42463927375742e-05,5
2030,Power,Hydrogen Power,781.2106997435498,0.0003355704750457357,5
2040,Power,Hydrogen Power,4179.167435376383,0.0017951689627974797,5
2045,Power,Hydrogen Power,6009.270156180269,0.00258129291067,5
2015,Power,Hydro Power,11656.818509018112,0.00500720756369214,6
2020,Power,Hydro Power,13028.517974278766,0.005596423560514258,6
2050,Power,Hydro Power,11467.298877534662,0.0049257990617498715,6
2045,Power,Hydro Power,11229.024876463884,0.004823448031795191,6
2040,Power,Hydro Power,11669.085651974325,0.005012476937230703,6
2035,Power,Hydro Power,12757.07343181972,0.005479824064256134,6
2030,Power,Hydro Power,13399.007725007783,0.0057555681058879,6
2025,Power,Hydro Power,13697.353282924687,0.005883722982198255,6
2035,Power,Geothermal Power,4217.606480457147,0.0018116805244316086,7
2030,Power,Geothermal Power,2630.4555181560354,0.0011299169457152406,7
2025,Power,Geothermal Power,958.3515077829677,0.0004116616308930462,7
2020,Power,Geothermal Power,342.81346452090776,0.00014725614636245938,7
2040,Power,Geothermal Power,5482.373135463442,0.002354963338378977,7
2015,Power,Geothermal Power,241.18155117133034,0.00010359997338157167,7
2050,Power,Geothermal Power,7640.750707700605,0.0032820983449546046,7
2045,Power,Geothermal Power,6515.28651012933,0.0027986531546238267,7
2015,Power,Nuclear,7628.561970877593,0.0032768626509129734,8
2050,Power,Nuclear,0.0,0.0,8
2045,Power,Nuclear,27.21993767287694,1.1692373668974509e-05,8
2040,Power,Nuclear,439.89453253091847,0.00018895749546169854,8
2035,Power,Nuclear,2233.9026493036363,0.0009595769406113261,8
2025,Power,Nuclear,6888.446690041118,0.002958944787703427,8
2020,Power,Nuclear,8851.746127484423,0.003802283627143478,8
2030,Power,Nuclear,4390.1277669980445,0.0018857873564284504,8
2025,FFs,Gas,77979.48174440696,0.033496228023222205,9
2030,FFs,Gas,61457.04697820218,0.026398986158476103,9
2035,FFs,Gas,43269.713147196715,0.0185865838763653,9
2040,FFs,Gas,23926.148881869914,0.010277520711044739,9
2045,FFs,Gas,8379.760285715332,0.0035995412515086992,9
2050,FFs,Gas,0.006666666666812186,2.8636787758899456e-09,9
2020,FFs,Gas,84097.14437165028,0.036124081116718616,9
2015,FFs,Gas,77895.40591532012,0.03346011309812479,9
2015,FFs,Coal & Lignite,68209.80992836868,0.02929964774926395,10
2050,FFs,Coal & Lignite,0.006666666666812186,2.8636787758899456e-09,10
2020,FFs,Coal & Lignite,62487.09505488598,0.02684144518076829,10
2025,FFs,Coal & Lignite,38166.40857564834,0.01639445012814637,10
2030,FFs,Coal & Lignite,15474.245236388519,0.006646990148309195,10
2035,FFs,Coal & Lignite,3267.6291585842882,0.0014036160403069042,10
2040,FFs,Coal & Lignite,943.6866666666668,0.00040536232175470137,10
2045,FFs,Coal & Lignite,337.03333333333313,0.00014477328051195603,10
2050,FFs,Oil & Diesel,0.006666666666812186,2.8636787758899456e-09,11
2020,FFs,Oil & Diesel,125446.93427163828,0.053885958474946524,11
2025,FFs,Oil & Diesel,83290.07784507613,0.035777404224293936,11
2030,FFs,Oil & Diesel,43197.141077440436,0.018555410411983463,11
2035,FFs,Oil & Diesel,16427.122015716726,0.007056300099650344,11
2040,FFs,Oil & Diesel,5054.164976142214,0.002171025745756327,11
2045,FFs,Oil & Diesel,637.6833333333332,0.0002739180341048339,11
2015,FFs,Oil & Diesel,125727.76006197826,0.054006587703271755,11
2040,Other Heat,Solar Heat,19886.94,0.008542471199123054,12
2050,Other Heat,Solar Heat,23083.47,0.009915546466717409,12
2035,Other Heat,Solar Heat,17249.32,0.00740947673721836,12
2045,Other Heat,Solar Heat,21866.989999999998,0.009393005273134622,12
2025,Other Heat,Solar Heat,7005.48,0.0030092166585725397,12
2020,Other Heat,Solar Heat,2264.83,0.0009728618402785883,12
2030,Other Heat,Solar Heat,13171.54,0.005657858931444319,12
2015,Other Heat,Solar Heat,1244.92,0.0005347576472404641,12
2045,Other Heat,Biomass,26179.870000000003,0.01124561071093822,13
2040,Other Heat,Biomass,32215.86,0.013838381179054218,13
2035,Other Heat,Biomass,36955.51,0.015874306445531797,13
2050,Other Heat,Biomass,20310.260000000002,0.008724309074030547,13
2025,Other Heat,Biomass,43378.87,0.018633472400756634,13
2020,Other Heat,Biomass,41937.86,0.01801448393784337,13
2015,Other Heat,Biomass,40502.149999999994,0.017397772099556886,13
2030,Other Heat,Biomass,41205.55,0.01769991884719444,13
2015,Other Heat,Geothermal,362.72,0.00015580703483521923,14
2020,Other Heat,Geothermal,792.65,0.0003404842472489428,14
2025,Other Heat,Geothermal,2730.3500000000004,0.0011728268018370669,14
2030,Other Heat,Geothermal,5685.63,0.0024422726937311633,14
2035,Other Heat,Geothermal,8410.380000000001,0.0036126940053965353,14
2040,Other Heat,Geothermal,10587.3,0.004547793945497675,14
2045,Other Heat,Geothermal,13011.62,0.005589165004969771,14
2050,Other Heat,Geothermal,15380.83,0.006606863463841489,14
2040,Other Heat,H Process,8157.5599999999995,0.0035040947151808305,15
2050,Other Heat,H Process,12258.23,0.005265544962031675,15
2045,Other Heat,H Process,12020.0,0.0051632128328168705,15
2035,Other Heat,H Process,3732.0199999999995,0.001603095969744527,15
2015,Other Heat,H Process,0.0,0.0,15
2025,Other Heat,H Process,120.50999999999999,5.1765289391244675e-05,15
2030,Other Heat,H Process,1535.16,0.0006594307664248874,15
2020,Other Heat,H Process,0.0,0.0,15
2015,Other Heat,RE district heat,563.11,0.00024188492331842827,16
2020,Other Heat,RE district heat,1488.3,0.0006393019683095963,16
2025,Other Heat,RE district heat,4139.04,0.0017779321500451196,16
2030,Other Heat,RE district heat,6886.07,0.0029579238761793065,16
2035,Other Heat,RE district heat,9246.73,0.003971949667021026,16
2045,Other Heat,RE district heat,12133.2,0.00521183809843042,16
2050,Other Heat,RE district heat,13092.0,0.005623692379969922,16
2040,Other Heat,RE district heat,10958.970000000001,0.004707445469089443,16
2040,Other Heat,H Fuel,6307.99,0.002709608562169758,17
2015,Other Heat,H Fuel,0.0,0.0,17
2035,Other Heat,H Fuel,5130.19,0.0022036824328443244,17
2030,Other Heat,H Fuel,3029.06,0.0013011382249061788,17
2025,Other Heat,H Fuel,826.87,0.000355183510405265,17
2020,Other Heat,H Fuel,16.27,6.988808052406861e-06,17
2050,Other Heat,H Fuel,6849.08,0.002942034754491628,17
2045,Other Heat,H Fuel,6763.87,0.0029054326442183895,17
2050,Other Heat,Synfuels,6328.48,0.002718410078887263,18
2015,Other Heat,Synfuels,0.0,0.0,18
2020,Other Heat,Synfuels,1.81,7.774887876371494e-07,18
2025,Other Heat,Synfuels,5.0,2.1477590818705785e-06,18
2030,Other Heat,Synfuels,403.94,0.00017351316070616027,18
2035,Other Heat,Synfuels,2115.33,0.000908643843730658,18
2040,Other Heat,Synfuels,4550.84,0.0019548215880279807,18
2045,Other Heat,Synfuels,5628.75,0.0024178397864158033,18
2015,Other Heat,Biofuels ,3163.27,0.0013587883741817488,19
2020,Other Heat,Biofuels ,4123.93,0.001771441622099707,19
2050,Other Heat,Biofuels ,5693.11,0.0024454857413176412,19
2030,Other Heat,Biofuels ,10054.75,0.004319036125687639,19
2035,Other Heat,Biofuels ,9781.53,0.0042016739784179035,19
2040,Other Heat,Biofuels ,9232.15,0.003965686801538292,19
2025,Other Heat,Biofuels ,9329.42,0.004007469306717002,19
2045,Other Heat,Biofuels ,8201.03,0.003522767332638614,19
